吿	cáo
呀	nha
呂	lữ
呃	ách
呆	ngốc
呈	trình
呉	ngô
呌	khiêu
呎	xích
呢	ni
呦	u
周	chu
呪	chú
呫	chiếp
呱	oa
味	vị
呴	ha
呶	nao
呷	hạp
呸	phi
呻	thân
呼	hô
命	mệnh
咀	trớ
咂	táp
咄	đốt
咆	bào
咈	phất
咋	trách
和	hoà
咎	cữu
咏	vịnh
咐	phù
咕	cô
咖	già
咤	trá
咥	hý
咦	di
咨	tư
咪	mễ
咫	chỉ
咬	giảo
咯	lạc
咱	cha
咲	tiếu
咳	khái
咷	đào
咸	hàm
咻	hưu
咽	yết
咿	y
哀	ai
品	phẩm
哂	sẩn
哄	hống
哆	sỉ
哇	oa
哈	cáp
哉	tai
响	hưởng
員	viên
哥	ca
哦	nga
哨	tiếu
哩	lí
哭	khốc
哮	hao
哲	triết
哺	bộ
哼	hanh
哽	ngạnh
哿	cả
唁	nghiễn
唄	bái
嘈	tào
嘉	gia
嘍	lâu
塊	khối
塋	doanh
塌	tháp
塍	thăng
塏	khải
塑	tố
塒	thì
塔	tháp
唆	toa
唇	thần
唈	ấp
唉	ai
唏	hí
唐	đường
唕	tạo
唘	khải
唪	phủng
售	thụ
唯	duy
唱	xướng
唳	lệ
唵	úm
唾	thoá
啁	chù
啄	trác
商	thương
問	vấn
啐	thối
啑	xiệp
啓	khải
啕	đào
啖	đạm
啗	đạm
啚	bỉ
啜	xuyết
啞	ách
啣	hàm
啻	thí
啼	đề
啾	thu
喀	khách
喁	ngung
喂	uỷ
喃	nam
善	thiện
喆	đề
喇	lạt
喈	dê
喉	hầu
喊	hảm
喋	điệp
喎	oa
喏	nhạ
喑	âm
喒	tàm
喔	ác
喘	suyễn
喙	uế
喚	hoán
喜	hỉ
喝	hát
喞	tức
喟	vị
喤	hoàng
喧	huyên
喨	lượng
喪	tang
喫	khiết
喬	kiều
喭	ngạn
單	đan
喻	dụ
嗁	đề
嗃	hạc
嗄	sá
嗅	khứu
嗆	sang
嗇	sắc
嗉	tố
嗌	ách
嗎	mạ
嗏	chà
嗑	hạp
嗒	tháp
嗓	tảng
嗔	sân
嗚	ô
嗛	hàm
嗜	thị
嗟	ta
嗢	ốt
嗣	tự
嗤	xuy
嗥	hào
嗩	toả
嗶	tất
嗸	ngao
嗽	thấu
嗾	thốc
嘅	khái
嘆	thán
嘏	hỗ
嘐	hao
嘑	hô
嘒	uế
嘓	quắc
嘔	ẩu
嘖	sách
嘗	thường
嘘	hư
嘛	ma
嘩	hoa
嘬	toát
嘮	lao
嘯	khiếu
嘰	kỉ
嘲	trào
嘴	chuỷ
嘵	hiêu
嘶	tê
嘷	hào
嘹	liệu
嘻	hi
噀	tốn
噉	đạm
噍	tiếu
噎	ế
噏	hấp
噐	khí
噙	cầm
噢	úc
噤	cấm
噥	nông
噦	uyết
器	khí
噩	ngạc
噪	táo
噫	y
噬	phệ
噭	khiếu
噱	cược
噲	khoái
噴	phún
噶	cát
噸	đốn
嚀	ninh
嚅	nhu
嚆	hao
嚇	hách
嚎	hào
嚏	đế
嚕	lỗ
嚬	tần
嚮	hưởng
嚱	hi
嚲	đả
嚳	khốc
嚴	nghiêm
嚶	anh
嚷	nhượng
嚼	tước
囀	chuyển
囁	chiếp
囂	hiêu
囅	xiên
囈	nghệ
囉	la
囌	tô
囑	chúc
囓	khiết
囔	nang
囗	vi
囚	tù
四	tứ
場	tràng
堵	đổ
塗	đồ
墳	phần
墻	tường
墼	kích
墾	khẩn
壁	bích
嬖	bế
嬗	thiện
嬙	tường
嬛	huyên
嬝	niệu
嬡	ái
嬪	tần
嬭	nãi
嬰	anh
嬲	điểu
嬴	doanh
嬸	thẩm
嬾	lãn
宸	thần
容	dong
宼	khấu
宿	túc
囝	kiển
回	hồi
囟	tín
因	nhân
囡	niếp
囤	độn
囫	hốt
囬	hồi
囮	ngoa
困	khốn
囱	song
囷	khuân
囹	linh
固	cố
囿	hữu
圃	phố
圄	ngữ
圅	hàm
圇	luân
圉	ngữ
圊	thanh
國	quốc
圌	thùy
圍	vi
圏	quyển
園	viên
圓	viên
圖	đồ
團	đoàn
圜	viên
圝	loan
土	thổ
在	tại
圩	vu
圬	ô
圭	khuê
圮	bĩ
圯	di
地	địa
圻	kỳ
圾	ngập
址	chỉ
坂	phản
均	quân
坊	phường
坌	bộn
坍	than
坎	khảm
坏	khôi
坐	toạ
坑	khanh
坟	phần
坡	pha
坤	khôn
坦	thản
坩	kham
坪	bình
坫	điếm
坯	bôi
坰	quynh
坳	ao
坵	khâu
坷	khả
坺	bạt
坻	chì
坼	sách
坿	phụ
垂	thùy
垃	lạp
型	hình
垓	cai
垛	đoá
垠	ngân
垢	cấu
垣	viên
垤	điệt
垻	bá
埂	canh
埃	ai
埄	bổng
埋	mai
城	thành
埏	duyên
埒	liệt
埔	bộ
埕	trình
埜	dã
埝	niệm
域	vực
埠	phụ
埤	bì
埧	cụ
埭	đại
埴	thực
埶	nghệ
執	chấp
埸	dịch
培	bồi
