橩 橩
橯 橯
杪 diểu
隸 lệ
桄 quáng
柈 bàn
棬 khuyên
杜 đỗ
柟 nam
棱 lăng
桂 quế
槸 槸
橈 nạo
榼 khạp
檮 đào
樾 việt
檣 tường
桔 kết
檯 thai
榬 榬
樹 thụ
櫝 độc
才 tài
柏 bách
棉 miên
楻 楻
槔 cao
櫛 trất
鼒 tỉ
櫸 cử
楸 thu
橎 橎
皮 bì
板 bản
桻 桻
格 cách
柊 柊
檓 檓
梏 cốc
鸉 鸉
杉 sam
榭 tạ
柳 liễu
榴 lựu
櫆 khôi
柉 柉
櫡 櫡
株 chu
椴 đoạn
棰 棰
栝 quát
楯 thuẫn
橋 kiều
楀 楀
櫍 chất
析 tích
梔 chi
柝 thác
机 cơ
杸 杸
楓 phong
杋 杋
桁 hành
椼 椼
樅 tung
棔 棔
橁 橁
柢 để
梆 bang
柣 柣
枆 枆
楄 biên
檄 hịch
槴 槴
欑 toàn
槐 hòe
櫋 櫋
橇 khiêu
柧 柧
椑 椑
楰 楰
樦 樦
榹 榹
寸 thốn
桹 lang
榑 phù
梭 toa
櫥 trù
槭 túc
椷 giam
棧 sạn
槮 槮
榔 lang
梂 梂
柭 柭
槦 槦
栦 栦
刌 刌
榶 榶
栨 thứ
櫠 櫠
榳 榳
杙 dực
樲 nhị
栻 栻
檯 thai
棫 vực
械 giới
末 mạt
槙 điên
桲 bột
楠 nam
植 thực
柼 柼
椌 椌
榕 dong
榨 trá
枝 chi
楁 楁
槫 槫
橞 橞
橶 橶
杖 trượng
楮 chử
栳 lão
栲 khảo
棲 tê
檳 tân
棕 tông
楦 huyên
椗 đính
梡 梡
柁 đả
榰 榰
檸 nịnh
枯 khô
楜 楜
橭 橭
棺 quan
橨 橨
桉 án
夬 quái
杕 đệ
栯 栯
樧 樧
橑 liêu
楏 楏
鷘 鷘
梑 梑
桸 桸
樉 樉
栫 栫
橢 thỏa
椅 y
桍 桍
整 chỉnh
桋 桋
朹 朹
槉 槉
梜 梜
憖 ngận
朸 朸
槬 槬
枷 gia
檶 檶
束 thúc
柍 柍
枕 chẩm
梊 梊
